low_row_index,mapped_drain_index,drain_eventid,uni_row_index,uni_eventid_original,uni_eventtemplate,drain_LineId
0,0,932c104e,0,5,Registered signal handlers for <*> INT],1
1,1,7bb9d001,1,23,"Changing view acls to: yarn,curi",2
2,3,29bc3dfc,2,25,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",4
3,7,b923f8c3,3,30,Slf4jLogger started,8
4,8,e99571c6,4,16,Starting remoting,9
5,9,27a2a4ad,5,19,Remoting started; listening on addresses <*>,10
6,10,f5a68e94,6,20,Successfully started service 'sparkExecutorActorSystem' on port <*>,11
7,11,9ffef012,7,18,Created local directory at <*>,12
8,12,ab59d05a,8,11,MemoryStore started with capacity <*> GB,13
9,13,06cc9899,9,17,Connecting to driver: <*>,14
10,14,5a5c5838,10,26,Successfully registered with driver,15
11,15,508e4f7f,11,15,Starting executor ID <*> on host <*>,16
12,17,a352752c,12,29,Server created on <*>,18
13,18,17f432d4,13,4,Trying to register BlockManager,19
14,19,1c507e44,14,12,Registered BlockManager,20
15,20,9ba7fdc2,15,28,Got assigned task <*>,21
16,24,ae0572db,16,32,Running task <*> in stage <*> (TID <*>,25
17,30,6c90e140,17,9,Started reading broadcast variable <*>,31
18,31,7d93e8ed,18,2,Block <*> stored as bytes in memory (estimated size <*> free <*> KB),32
19,32,c0edc03b,19,1,Reading broadcast variable <*> took <*> ms,33
20,34,3d6e0eb0,20,13,"Partition <*> not found, computing it",35
21,39,f1a8cca8,21,24,Input split: <*>,40
22,48,8671f9ed,22,21,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",49
23,49,863158e5,23,3,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",50
24,50,e4c5fa8f,24,6,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",51
25,51,8ae18a42,25,7,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",52
26,52,6e5305e4,26,31,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",53
27,73,15498983,27,0,Times: total = <*> boot = <*> init = <*> finish = <*>,74
28,88,33da0487,28,14,Finished task <*> in stage <*> (TID <*> bytes result sent to driver,89
29,107,d7f24216,29,27,Found block <*> locally,108
30,869,a899e693,30,22,File Output Committer Algorithm version is <*>,870
31,879,e967b817,31,10,Saved output of task <*> to <*>,880
32,884,9a5790d1,32,8,<*> Committed,885
